serie;funcion;tiempo;serie;;;;serie;funcion;tiempo O;tiempoOpt;;;;;;;;;;;;;;
T386_20150207_2302_2341;mapMatch;00:07,1;T386_20150207_2302_2341 mapMatch;1;T386_20150207_2302_2341 mapMatch1;;T386_20150207_2302_2341;mapMatch;00:03,5;00:07,1;205%;;;;;;;;;;;;;
T386_20150207_2793_2819;mapMatch;00:05,0;T386_20150207_2793_2819 mapMatch;1;T386_20150207_2793_2819 mapMatch1;;T386_20150207_2302_2341;mapMatch;00:01,3;00:05,5;421%;;;;;;;;;;;;;
T386_20150212_1389_1466;mapMatch;00:04,9;T386_20150212_1389_1466 mapMatch;1;T386_20150212_1389_1466 mapMatch1;;T386_20150207_2302_2341;mapMatch;00:01,3;00:05,6;432%;;;;;;;;;;;;;
T386_20150212_1712_1767;mapMatch;00:05,9;T386_20150212_1712_1767 mapMatch;1;T386_20150212_1712_1767 mapMatch1;;T386_20150207_2302_2341;mapMatch;00:01,3;00:05,4;409%;;;;;;;;;;;;;
T386_20150212_2640_2693;mapMatch;00:04,7;T386_20150212_2640_2693 mapMatch;1;T386_20150212_2640_2693 mapMatch1;;T386_20150207_2302_2341;mapMatch;00:01,3;00:06,1;464%;;;;;;;;;;;;;
T916_20150207_2161_2181;mapMatch;00:04,8;T916_20150207_2161_2181 mapMatch;1;T916_20150207_2161_2181 mapMatch1;;T386_20150207_2302_2341;mapMatch;00:01,4;00:05,3;391%;;;;;;;;;;;;;
T916_20150208_2161_2196;mapMatch;00:05,0;T916_20150208_2161_2196 mapMatch;1;T916_20150208_2161_2196 mapMatch1;;T386_20150207_2302_2341;mapMatch;00:01,4;00:06,1;448%;;;;;;;;;;;;;
T916_20150208_2241_2271;mapMatch;00:04,6;T916_20150208_2241_2271 mapMatch;1;T916_20150208_2241_2271 mapMatch1;;T386_20150207_2302_2341;mapMatch;00:06,5;00:07,0;107%;;;;;;;;;;;;;
T386_20150207_2302_2341;mapMatch;00:05,5;T386_20150207_2302_2341 mapMatch;2;T386_20150207_2302_2341 mapMatch2;;T386_20150207_2302_2341;mapMatch;00:18,2;00:15,7;86%;;;;;;;;;;;;;
T386_20150207_2793_2819;mapMatch;00:12,5;T386_20150207_2793_2819 mapMatch;2;T386_20150207_2793_2819 mapMatch2;;T386_20150207_2302_2341;mapMatch;00:00,5;00:02,3;444%;;;;;;;;;;;;;
T386_20150212_1389_1466;mapMatch;00:04,7;T386_20150212_1389_1466 mapMatch;2;T386_20150212_1389_1466 mapMatch2;;T386_20150207_2302_2341;mapMatch;00:01,4;00:05,5;383%;;;;;;;;;;;;;
T386_20150212_1712_1767;mapMatch;00:13,4;T386_20150212_1712_1767 mapMatch;2;T386_20150212_1712_1767 mapMatch2;;T386_20150207_2302_2341;mapMatch;00:01,4;00:05,1;357%;;;;;;;;;;;;;
T386_20150212_2640_2693;mapMatch;00:06,1;T386_20150212_2640_2693 mapMatch;2;T386_20150212_2640_2693 mapMatch2;;T386_20150207_2302_2341;mapMatch;00:01,4;00:05,4;381%;;;;;;;;;;;;;
T916_20150207_2161_2181;mapMatch;00:04,5;T916_20150207_2161_2181 mapMatch;2;T916_20150207_2161_2181 mapMatch2;;T386_20150207_2302_2341;mapMatch;00:03,1;00:07,0;228%;;;;;;;;;;;;;
T916_20150208_2161_2196;mapMatch;00:04,8;T916_20150208_2161_2196 mapMatch;2;T916_20150208_2161_2196 mapMatch2;;T386_20150207_2302_2341;mapMatch;00:01,4;00:05,2;367%;;;;;;;;;;;;;
